Title,Year,Authors,Author Keywords,Document Type,NumPages,SourceTitle,DOI,Citations,Source,AI Taxonomy Domain,AI Taxonomy Subdomain,AI Technique,AI model Value to CM,Modeling Purpose,Modelling Language,Tool Support,Contribution Type,Research Type,Author Affiliations,Abstract,Countries,universities
A Formal Graphical Language of Interdependence in Teamwork,2019,"Changyun Wei, Koen V. Hindriks,  Birna Van Riemsdijk, Catholijn M. Jonker",,Article,10,IEEE Intelligent Systems,https://doi.org/10.1109/MIS.2019.2942580,1,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,Model Use - Processing,"(Re-) Design, Representation",DSML,Closed,Concepts,Solution,"[{'name': 'Changyun Wei', 'Affiliation(s)': ('Hohai University', 'China')}, {'name': 'Koen V. Hindriks', 'Affiliation(s)': ('Vrije Universiteit Amsterdam', 'Netherlands')}, {'name': ' Birna Van Riemsdijk', 'Affiliation(s)': ('Delft University of Technology', 'Netherlands')}, {'name': 'Catholijn M. Jonker', 'Affiliation(s)': ('Delft University of Technology', 'Netherlands')}]","Agents in teamwork may be highly interdependent on each other, and the awareness of interdependences is an important requirement for designing and consequently implementing a multiagent system. In this article, we propose a formal graphical and domain-independent language that can facilitate the identification of comprehensive interdependences among the agents in teamwork. Moreover, a formal semantics is also introduced to precisely express and explain the properties of a graphical structure. The novel feature of the graphical language is that it complements the Interdependence Analysis Color Scheme in a way that explicitly models negative influences and, in addition, provides a visual-communication aid for developers. To demonstrate the applicability and sufficiency of the graphical language in a variety of domains, our case studies include a multirobot scenario and a human-robot scenario.","['China', 'Netherlands', 'Netherlands', 'Netherlands']","['Hohai University', 'Vrije Universiteit Amsterdam', 'Delft University of Technology', 'Delft University of Technology']"
A framework for data transformation in Credit Behavioral Scoring applications based on Model Driven Development,2017,"Rosalvo Neto, Paulo Jorge Adeodato, Ana Carolina Salgado",Data mining; Relational classification; Credit Behavioral Scoring; Model Driven Development,Article,13,Expert Systems with Applications,https://doi.org/10.1016/j.eswa.2016.10.059,10,Scopus,Learning,Machine learning,Machine Learning,Model Use - Processing,"Code Generation, Representation",UML & UML Diagram Type & UML Profile,Closed,"Concepts, Algorithms","Solution, Evaluation","[{'name': 'Rosalvo Neto', 'Affiliation(s)': [('Pernambuco, University of', 'Brazil'), ('Federal University of São Francisco Valley (UNIVASF)', 'Brazil')]}, {'name': 'Paulo Jorge Adeodato', 'Affiliation(s)': ('Pernambuco, University of', 'Brazil')}, {'name': 'Ana Carolina Salgado', 'Affiliation(s)': ('Pernambuco, University of', 'Brazil')}]","The preprocessing stage in knowledge discovery projects is costly, normally taking between 50% and 80% of the total project time. It is in this stage that data in a relational database are transformed for applying a data mining technique. This stage is a complex task that demands from database designers a strong interaction with experts having a broad knowledge about the application domain. Frameworks aiming to systemize this stage have significant limitations when applied to Credit Behavioral Scoring solutions. This paper proposes a framework based on the Model Driven Development approach to systemize the mentioned stage. This work has three main contributions: 1) improving the discriminant power of data mining techniques by means of the construction of new input variables which embed temporal knowledge for the technique; 2) reducing the time of data transformation using automatic code generation, and 3) allowing artificial intelligence and statistics modelers to perform the data transformation without the help of database experts. In order to validate the proposed framework, two comparative studies were conducted. Experiments showed that the proposed framework delivers a performance equivalent or superior to those of existing frameworks and reduces the time of data transformation with a confidence level of 95%.","['Brazil', 'Brazil', 'Brazil', 'Brazil']","['University of Pernambuco', 'Federal University of São Francisco Valley (UNIVASF)', 'University of Pernambuco', 'University of Pernambuco']"
A fuzzy timed object-oriented Petri net for multi-agent systems,2008,"Hua Xu, Peifa Jia",,Conference Paper,10,"International Symposium on Neural Networks, ISNN",https://doi.org/10.1007/978-3-540-87734-9_24,2,Scopus,"Integration and Interaction, Reasoning","Automated reasoning, Multi-agent systems",Fuzzy Sets,Model Use - Processing,"(Re-) Design, Representation",Petri Nets,Not Available,Concepts,Solution,"[{'name': 'Hua Xu', 'Affiliation(s)': ('Tsinghua University', 'China')}, {'name': 'Peifa Jia', 'Affiliation(s)': ('Tsinghua University', 'China')}]","In this paper, a multi-agent system (MAS) modeling method called fuzzy timed object-oriented Petri nets (FTOPN) is proposed. FTO-PN has extended Petri nets (PN) supporting object-oriented modeling and temporal fuzzy learning based on timed hierarchical object-oriented Petri net (TOPN) and fuzzy timed Petri net (FTPN). Our focus is the adaptation according to TOPN concepts of cooperation objects for supporting synchronous and asynchronous communications and the temporal fuzzy learning proposed in FTPN. These two diagrams have been chosen because they are the most commonly used in modeling MAS and describing agent learning and reasoning ability. That is to say, they can be used to model and illustrate both the structural and dynamic aspects of MAS. Not only the proposed FTOPN can be used to model complex MAS, but also FTOPN model can be refined into the object-oriented implementation easily. It has bridged the gap between the formal modeling and the system refinement, which can overcome the development problems in agent-oriented software engineering. At the same time, it also can be regarded as a conceptual and practical artificial intelligence (AI) tool for the integration of MAS into the mainstream practice of software development. © 2008 Springer-Verlag Berlin Heidelberg.","['China', 'China']","['Tsinghua University', 'Tsinghua University']"
A General Explanation Component for Conceptual Modeling in CASE Environments,1996,Jon Atle Gulla,,Article,33,ACM Transactions on Information Systems,https://doi.org/10.1145/230538.230560,17,Scopus,Communication,Natural language processing,NLP,Model Use - Analyzing,Representation,"DSML, Others",Not Available,Algorithms,Solution,"[{'name': 'Jon Atle Gulla', 'Affiliation(s)': ('GMD', 'Germany')}]","In information systems engineering, conceptual models are constructed to assess existing information systems and work out requirements for new ones. As these models serve as a means for communication between customers and developers, it is paramount that both parties understand the models, as well as that the models form a proper basis for the subsequent design and implementation of the systems. New CASE environments are now experimenting with formal modeling languages and various techniques for validating conceptual models, though it seems difficult to come up with a technique that handles the linguistic barriers between the parties involved in a satisfactory manner. In this article, we discuss the theoretical basis of an explanation component implemented for the PPP CASE environment. This component integrates other validation techniques and provides a very flexible natural-language interface to complex model information. It describes properties of the modeling language and the conceptual models in terms familiar to users, and the explanations can be combined with graphical model views. When models are executed, it can justify requested inputs and explain computed outputs by relating trace information to properties of the models.",['Germany'],['GMD']
A generic metamodel for data extraction and generic ontology population,2021,"Yohann Chasseray, Anne-Marie Barthe-Delanoë, Stéphane Négny, Jean-Marc Le Lann",Instantiation; knowledge base; knowledge extraction; model-driven engineering; model transformation,Article,19,Journal of Information Science,https://doi.org/10.1177/0165551521989641,1,Scopus,"Learning, Communication","Machine learning, Natural language processing","Machine Learning, NLP","Model Use - Analyzing, Model Use - Processing",Code Generation,DSML,Not Available,Concepts,Solution,"[{'name': 'Yohann Chasseray', 'Affiliation(s)': ('National Polytechnic Institute of Toulouse', 'France')}, {'name': 'Anne-Marie Barthe-Delanoë', 'Affiliation(s)': ('National Polytechnic Institute of Toulouse', 'France')}, {'name': 'Stéphane Négny', 'Affiliation(s)': ('National Polytechnic Institute of Toulouse', 'France')}, {'name': 'Jean-Marc Le Lann', 'Affiliation(s)': ('National Polytechnic Institute of Toulouse', 'France')}]","As the next step in the development of intelligent computing systems is the addition of human expertise and knowledge, it is a priority to build strong computable and well-documented knowledge bases. Ontologies partially respond to this challenge by providing formalisms for knowledge representation. However, one major remaining task is the population of these ontologies with concrete application. Based on Model-Driven Engineering principles, a generic metamodel for the extraction of heterogeneous data is presented in this article. The metamodel has been designed with two objectives, namely (1) the need of genericity regarding the source of collected pieces of knowledge and (2) the intent to stick to a structure close to an ontological structure. As well, an example of instantiation of the metamodel for textual data in chemistry domain and an insight of how this metamodel could be integrated in a larger automated domain independent ontology population framework are given.","['France', 'France', 'France', 'France']","['National Polytechnic Institute of Toulouse', 'National Polytechnic Institute of Toulouse', 'National Polytechnic Institute of Toulouse', 'National Polytechnic Institute of Toulouse']"
A genetic algorithm for the inductive derivation of reference models using minimal graph-edit distance applied to real-world business process data,2014,"Alexander Martens, Peter Fettke, Peter Loos",Instantiation; knowledge base; knowledge extraction; model-driven engineering; model transformation,Conference Paper,14,"Tagungsband Multikonferenz Wirtschaftsinformatik, MKWI",,10,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,"Analysis, Representation",Others,Closed,Algorithms,"Solution, Evaluation","[{'name': 'Alexander Martens', 'Affiliation(s)': ('Saarland University', 'Germany')}, {'name': 'Peter Fettke', 'Affiliation(s)': ('Saarland University', 'Germany')}, {'name': 'Peter Loos', 'Affiliation(s)': ('Saarland University', 'Germany')}]","Business process management has become an important topic and a subject of lively discussion, especially the conceptual modeling of business processes. This task is time-consuming and the outcome depends strongly on the mindset of the designer. Meanwhile, recent research is focusing on inductive reference modeling, especially based on minimal graph-edit distance. In contrast to related work, this innovative approach operationalizes reference models as an abstract model that can be transformed in a minimal number of steps towards individual business process models. The formulated optimization problem of minimal graph-edit distance is approximated using a variant of genetic algorithms. The method is applied to relevant real-world examples of individual business process models to evaluate inductive reference model development following evolution strategies. Therefore, the presented approach is implemented prototypically as proof-of-concept, and thus proves its practical usage.","['Germany', 'Germany', 'Germany']","['Saarland University', 'Saarland University', 'Saarland University']"
A goal-based organizational perspective on multi-agent architectures,2002,"Manuel Kolp, Paolo Giorgini, John Mylopoulos",,Conference Paper,13,"International Workshop on Agent Theories, Architectures, and Languages, ATAL",https://doi.org/10.1007/3-540-45448-9_10,22,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,Model Use - Processing,"Analysis, Representation","Others, Goal Model & iStar",Not Available,Concepts,Solution,"[{'name': 'Manuel Kolp', 'Affiliation(s)': ('Catholic University of Louvain', 'Belgium')}, {'name': 'Paolo Giorgini', 'Affiliation(s)': ('Trento, University of', 'Italy')}, {'name': 'John Mylopoulos', 'Affiliation(s)': ('Toronto, University of', 'Canada')}]","A Multi-Agent System (MAS) is an organization of coordinated autonomous agents that interact in order to achieve common goals. Considering real world organizations as an analogy, this paper proposes architectural styles for MAS which adopt concepts from organization theory and strategic alliances literature. The styles are intended to represent a macro-level architecture of a MAS, and they are modeled using the i* framework which offers the notions of actor, goal and actor dependency for modeling multi-agent settings. The styles are also specified as metaconcepts in the Telos modeling language. Moreover, each style is evaluated with respect to a set of software quality attributes, such as predictability and adaptability. The paper also explores the adoption of micro-level patterns proposed elsewhere in order to give a finer-grain description of a MAS architecture. These patterns define how goals assigned to actors participating in an organizational architecture will be fulfilled by agents. An e-business example illustrates both the styles and patterns proposed in this work. The research is being conducted within the context of Tropos, a comprehensive software development methodology for agent-oriented software. © Springer-Verlag Berlin Heidelberg 2002.","['Belgium', 'Italy', 'Canada']","['Catholic University of Louvain', 'University of Trento', 'University of Toronto']"
A human-like SPN methodology for deep understanding of technical documents,2017," Bourbakis,  Psarologou,  Rematska,  Esposito",,Conference Paper,7,"IEEE International Conference on Tools with Artificial Intelligence, ICTAI",https://doi.org/10.1109/ICTAI.2016.0121,1,Scopus,"Communication, Perception","Natural language processing, Computer vision","NLP, Deep Learning",Model Creation - Automated,"Analysis, Representation",Petri Nets,Closed,Algorithms,Solution,"[{'name': ' Bourbakis', 'Affiliation(s)': ('Wright State University', 'United States')}, {'name': ' Psarologou', 'Affiliation(s)': ('Wright State University', 'United States')}, {'name': ' Rematska', 'Affiliation(s)': ('Wright State University', 'United States')}, {'name': ' Esposito', 'Affiliation(s)': ('Wright State University', 'United States')}]","This paper deals with the Automatic Deep Understanding (ADU) of technical documents. Here we present a synergistic collaboration between two different modalities, a natural language text understanding (NLU) method and a diagram-image extraction & modeling (DIM) one for the deep understanding of technical documents. In particular, the NLU extracts the text from the document and determines the associations among the nouns and their interactions, by creating their stochastic Petri-net (SPN) graph model. The DIM extracts the diagrams from the document and produces their graph models. Then we combine (associate) these two models in a synergistic way, which leads to the deeper understanding of the technical document.","['United States', 'United States', 'United States', 'United States']","['Wright State University', 'Wright State University', 'Wright State University', 'Wright State University']"
A hybrid ontological and temporal approach for composite activity modelling,2012,"George Okeyo, Liming Chen, Hui Wang, Roy Sterritt",Temporal knowledge;activity modelling;ontologies;interleaved activities;concurrent activities;smart homes,Conference Paper,8,"International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom",https://doi.org/10.1109/TrustCom.2012.34,33,Scopus,Reasoning,"Knowledge representation, Automated reasoning",Activity Modeling,Model Creation - Automated,Representation,Others,Not Available,"Concepts, Algorithms",Solution,"[{'name': 'George Okeyo', 'Affiliation(s)': ('Ulster University', 'United Kingdom')}, {'name': 'Liming Chen', 'Affiliation(s)': ('Ulster University', 'United Kingdom')}, {'name': 'Hui Wang', 'Affiliation(s)': ('Ulster University', 'United Kingdom')}, {'name': 'Roy Sterritt', 'Affiliation(s)': ('Ulster University', 'United Kingdom')}]","Activity modelling is required to support activity recognition and further to provide activity assistance for users in smart homes. Current research in knowledge-driven activity modelling has mainly focused on single activities with little attention being paid to the modelling of composite activities such as interleaved and concurrent activities. This paper presents a hybrid approach to composite activity modelling by combining ontological and temporal knowledge modelling formalisms. Ontological modelling constructors, i.e. concepts and properties for describing composite activities, have been developed and temporal modelling operators have been introduced. As such, the resulting approach is able to model both static and dynamic characteristics of activities. Several composite activity models have been created based on the proposed approach. In addition, a set of inference rules has been provided for use in composite activity recognition. A concurrent meal preparation scenario is used to illustrate both the proposed approach and associated reasoning mechanisms for composite activity recognition. © 2012 IEEE.","['United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom']","['Ulster University', 'Ulster University', 'Ulster University', 'Ulster University']"
A knowledge model-driven recommender system for business transformation,2006,"Mao Chen, Jakka Sairamesh",knowledge model; business process transformation; real-time information ranking; workforce allocation,Conference Paper,8,"IEEE International Conference on Services Computing, SCC",https://doi.org/10.1109/SCC.2006.8,4,Scopus,Learning,Machine learning,Machine Learning,Model Use - Processing,"Analysis, (Re-) Design, Representation",DSML,Not Available,Algorithms,"Solution, Evaluation","[{'name': 'Mao Chen', 'Affiliation(s)': ('IBM Thomas J. Watson Research Center', 'United States')}, {'name': 'Jakka Sairamesh', 'Affiliation(s)': ('IBM Thomas J. Watson Research Center', 'United States')}]","Engineering approach for transforming business process and workforce management is an emerging area that is gaining increasing interest for its many promising applications in service science. Yet, three major challenges stand out in engineering any business transformation process. The first challenge is accurate modeling of the transformation knowledge that may be scattered across multiple application domains. The second challenge is efficient and precise real-time evaluation based on the knowledge model. The third challenge will be to generate intelligent recommendations about business transformation that can significantly improve the business process and drive down opportunity costs. This paper proposes an integrated knowledge model-driven recommender system that effectively addresses all of the three abovementioned challenges of modeling, evaluating, and recommending. Using a real-world case study on warranty processing at a major automotive manufacturer, this paper presents a novel business transformation framework that consists of a knowledge model on business value drivers and metrics, an evaluation engine for processing real-time business events, and a recommendation engine that utilizes information obtained from the evaluation engine to suggest new processes and workforce allocation strategy, which can be subjected to a new cycle of modeling and evaluation to complete a feedback loop. Our experimental study using the real-world data results in a ""25/75"" rule in predictive warranty data processing: 25% of information contains 75% of business information entropy, thereby demonstrating the effectiveness of the system. © 2006 IEEE.","['United States', 'United States']","['IBM Thomas J. Watson Research Center', 'IBM Thomas J. Watson Research Center']"
"A knowledge-based approach for business process reengineering, SHAMASH",2002,"Ricardo Aler, Daniel Borrajo, David Camacho, Almudena Sierra-Alonso",,Article,11,Knowledge-Based Systems,https://doi.org/10.1016/S0950-7051(02)00032-1,22,Scopus,Planning,Optimization,,Model Use - Processing,"(Re-) Design, Representation",DSML,Closed,Tools,Solution,"[{'name': 'Ricardo Aler', 'Affiliation(s)': ('Carlos III University of Madrid', 'Spain')}, {'name': 'Daniel Borrajo', 'Affiliation(s)': ('Carlos III University of Madrid', 'Spain')}, {'name': 'David Camacho', 'Affiliation(s)': ('Carlos III University of Madrid', 'Spain')}, {'name': 'Almudena Sierra-Alonso', 'Affiliation(s)': ('Rey Juan Carlos University', 'Spain')}]","In this paper we present an overview of SHAMASH, a process modelling tool for business process reengineering. The main features that differentiate it from most current related tools are its ability to define and use organisation standards, and functional structure, and make automatic model simulation and optimisation of them. SHAMASH is a knowledge-based system, and we include a discussion on how knowledge acquisition did take place. Furthermore, we introduce a high level description of the architecture, the conceptual model, and other important modules of the system. © 2002 Elsevier Science B.V. All rights reserved.","['Spain', 'Spain', 'Spain', 'Spain']","['Carlos III University of Madrid', 'Carlos III University of Madrid', 'Carlos III University of Madrid', 'Rey Juan Carlos University']"
A Knowledge-Based Conceptual Modelling Approach to Bridge Design Thinking and Intelligent Environments,2019,"Michael Walch, Takeshi Morita, Dimitris Karagiannis, Takahira Yamaguchi",,Conference Paper,13,"International Conference on Knowledge Science, Engineering and Management, KSEM",https://doi.org/10.1007/978-3-030-29551-6_47,2,Scopus,"Integration and Interaction, Perception, Reasoning","Automated reasoning, Computer vision, Audio processing, Robotics and Automation",,Model Use - Processing,Representation,DSML,Not Available,Concepts,Solution,"[{'name': 'Michael Walch', 'Affiliation(s)': ('Vienna, University of', 'Austria')}, {'name': 'Takeshi Morita', 'Affiliation(s)': ('Keio University', 'Japan')}, {'name': 'Dimitris Karagiannis', 'Affiliation(s)': ('Vienna, University of', 'Austria')}, {'name': 'Takahira Yamaguchi', 'Affiliation(s)': ('Keio University', 'Japan')}]","One aspect of knowledge management is concerned with the alignment between what is captured in the heads of people and what is encoded by technology. The alignment of knowledge is necessary as humans possess an efficient ability to design innovation based on business insights, while technological systems are able to operating efficiently in different environments. To support knowledge management, this study presents systematic foundations covering a knowledge-based conceptual modelling approach. On a systematic level, three procedures are presented to facilitate the alignment of knowledge between people and technology: the decomposition of concepts from design thinking in conceptual models, the abstraction of capabilities from intelligent environments in conceptual models, and the (semi-) automated, intelligent transformation of conceptual models. Furthermore, the architecture of ICT infrastructure supporting the three procedures is addressed. These systematic foundations are integrated in the OMiLAB ecosystem and instantiated in two projects. The first project revolves around PRINTEPS, which is a framework to develop practical Artificial Intelligence. The second project revolves around s*IoT, which is a unifying semantic-aware modelling environment for the Internet of Things. Additionally, two concrete cases are presented for both project. Due to employing common systematic foundations, transfer and reuse among the two projects is facilitated.","['Austria', 'Japan', 'Austria', 'Japan']","['University of Vienna', 'Keio University', 'University of Vienna', 'Keio University']"
A knowledge-based prototype system to support Product Conceptual Design,2011," Cao,  Fu",,Article,19,Computer-Aided Design and Applications,https://doi.org/10.3722/cadaps.2011.129-147,16,Scopus,Reasoning,Automated reasoning,,Model Creation - Automated,Representation,DSML,Closed,Algorithms,Solution,"[{'name': ' Cao', 'Affiliation(s)': ('Hebei University of Technology', 'China')}, {'name': ' Fu', 'Affiliation(s)': ('Hong Kong Polytechnic University', 'Hong Kong')}]","A key step in conceptual design is to develop specifications for the required behaviors or functions and transforms the specifications into the description of component configuration. In this paper, a design synthetic approach is proposed and employed to guide the design process via behavioral reasoning and to obtain an iterative transforming process. Firstly, the functional representations and design parameters according to the design requirements of a product are presented and a behavioral matrix model by using the bond graph fundamental elements is established. Secondly, a knowledge modeling language is presented for behavioral reasoning. A design synthesis approach is described in detail in such a way to transform the matrix model for generating functional means tree and to obtain multi-solutions by artificial intelligence. A prototype system is then developed for computer-aided conceptual design. Finally, a design synthesis case of a fast clasping mechanism used in a machine center is presented to show its application. © 2011 CAD Solutions, LLC.","['China', 'Hong Kong']","['Hebei University of Technology', 'Hong Kong Polytechnic University']"
